,Rating
151,"A long road trip, the pictures and music are really beautiful, the story is a bit depressed, in fact, it looks pretty sweet, the father-son relationship, the brotherhood, the lost love, but it is just too mysterious and weird, probably my own problem, As we grow older, we have no more nerves to bear such repression, closed spaces, unspeakable hidden feelings, and unpredictable future. . . The stubbornness of the actor sometimes makes people feel quite cute, but more often people hate him for being indifferent. This is a movie that is not suitable for anxious adults."
152,"As a woman I found this movie insulting, I watched it because it was an important movie for someone who's important for me, but I'm quite disgusted with it, it started alright, I found the sights and sounds appealing, but then, it's such a miscast, from the perfect cherub of Hunter, to the out of this world beauty of Jane (Kisnski), to the decrepit eyesore and bad actor of Travis (Stanton). It could have made a little more sense casting someone like Don Johnson instead of him, a young hunk. But you can't ask sense of this kind of garbage wrapped in artsy paper. This beautiful woman with a perfect son with the whole of the US to make a life for herself, turns into a pseudo hooker? That's all that she can strive for? And with that beauty and youth, she can only put in 5 dollars some months? While the sorry guy gets to go looking for adventures in Mexico? Give me a complete break! Piece of garbage."
153,"nothing will ever be, look, or react to you the same after this movie happens to you. do yourself a favor. i needed about 6 or 7 viewings to really get it, hopefully you'll need fewer, or better yet, hopefully you'll need more.here's my one sentence take: read the very first IMDb comment. that dude called it.i love how it gradually introduces and eases you into to so much. the color red. people trying to deal with the fact that they'll never understand the people they want to understand the most, by definition, and what to do with the realization that the most selfless solution to this very much unacceptable problem feels like the most selfish one. f***, i can't even talk about this movie. just see it like a million times."
154,"The story is pretty compelling and emotional in many ways. To stop understanding each other in a marriage... But the writers left all the explanation for the end, and that's not always bad. But in this one, doesn't make any good on the movie. It actually makes it kind of boring some times.
That's the only mistake of the movie, it does perfectly in everything else and even without explanation, doesn't feel lost in the points that the movie wants to go on."
155,"A vital piece of genuine American may be missing from Paris, Texas, but it still evokes an America that most Americans yearn to look on. An America as thorny and carnivorous as a hawk heel, as raw and smug as a mural in the center of the city, and as sweetly enigmatic as a vacant lot that can not exist."
156,"I don't usually watch movies like this, but I had to for faculty. It is a good and deep movie about loss, love, fatherhood and complicated relationships among people. While I dislike first part of the movie where our protagonist is silent and the whole thing resembles ""Rain Man"" more than anything else (not that it's a bad thing in art form of way, I personally just didn't like it), other half of the movie (or better said, more than half) is full of good scenes depicting a beautiful story about a son and a father looking for a mom whose location is unknown. From there on, the movie will hold your attention and you will enjoy it's every second. Therefore, I give the movie 8/10 and I recommend it to everybody who likes movies with themes like this."
157,"Lethargic and unassertive venture into a dreamy Texas with fluorescent lamps giving off a green tint and a display of an unreachable American dream trapped in an old faded picture of an old lot that Travis Henderson could not fulfill or had any tenacity to even hold onto for that matter. All this is accompanied by an extraordinary guitar score.Harry Dean Stanton gives a divine performance of an emotionally stunted man, whose experience of heartbreak and dejection might have whiplashed him so far from humanity that it takes up to 30 minutes to even hear him talk for the first time.The movie demands a lot of investment on viewers' part before this story of loss and redemption starts to unwind, but the reward for your time is one of the greatest monologues ever put to film and an ending that is so incredibly bittersweet it will make you ache and smile."
158,"Sometimes a movie that comes to you when you least expect it is your favorite movie, here is my movie...
Thanks for TRT2 showed this movie on TV.I had to say Hunter was my favorite characther ; his adaption, intelligence and intrepidity was excellent. Travis was cool but he was a complicated man tok because of that he thought jane was cheating on him and began the story. Jane was gorgeous , emotional and devoted to Hunter. She was without him but she was a mother worked a sex shop and send the money to Hunter.Finally, Hunter reunited with his mother but daddy wasn't there... Love turned into separation."
159,"Fantastic. Full of atmosphere, a real slow burner, great cast (there doesn't appear to be much credit given to the kid who was great too), great characterisation and beautifully shot. Some may describe the movie as depressing but I don't think that it is at all, just very sad, which is a different thing altogether. The music and photography also deserve a special mention, I've just got this movie on DVD and it is absolutely staggering. No wonder it doesn't get much of a mention any more - Hollywood with all its millions and so-called superstars would blush if any of the current trite efforts being piled out by the sausage factory were to be compared to this. Or perhaps they should and then they'd have to earn their millions for a change. If you like Arnie movies forget this one."
160,"Paris texas is one of films that has one of best written dialogues of all time,every scene in a film hold my attention to the maximum and i found myself in a moments were i havent blinked for few minutes,and that last 15-10 minutes were two characters were talking through a phone was so brilliantly written that it felt like some form of poet or shakespearan style of dialogue that give film extra bonus,also camera work on this film and entire cinematography is brilliant and some shots looked like they were some kind of painting,paris texas is one of best film i ever had a chance to witness and its slow moving and story that had big impact delivered it all to me in a way i didnt think it would"
161,"Perfection.This movie shows what it is been in love with the art of creating, writing, filming, directing.Great discover that little child was perfect for the role.In the end, while my heart was crying I just couldnt stop admiring what powerfull and perfect close scene.Go ahead, its perfect."
162,"It is a powerful and sad story by German director Wim Wenders, with the screenplay mostly written by Sam Shepherd. It features several remarkable performances by folks who are not usually leading actors.Travis (Harry Dean Stanton) is a man who deserted his young wife and two-year-old son when he was no longer able to deal with his jealousy, alcoholism, and the recognition of his wife abuse. His much younger wife, Jane (Nastassja Kinski), still only about 20 years old, then does not believe she can provide their son, Hunter (Hunter Carson), what he needs and leaves him with Travis' younger brother and wife, Walt (Dean Stockwell) and Anne (Aurore Clément). They essentially raise Hunter as their son.Four years after he disappeared, Travis emerges from the desert speechless. A doctor calls a phone number he finds on Travis and contacts Walt, who comes from Los Angeles to south Texas to get his brother and to take him home.The film follows Travis' slow emergence from silence and his gradual reconnection with his son. Travis learns that Jane has also lost contact with Hunter, but sends small sums of money through a Houston bank for Hunter once a month. Without telling his brother, Travis and Hunter travel to Houston to locate Jane.Travis finds Jane working in a peep show and in a second visit to her booth has a long conversation with her through a one-way mirror, unpacking the story of their marriage and its collapse. Travis tells Jane that Hunter is waiting for her, but that he is too damaged to be part of the relationship. After Jane meets Hunter in a hotel, Travis drives into the night.This short summary doesn't do justice to the story. Harry Dean Stanton has performed many bit parts in movies, but never a leading role. He is amazing as Travis, a simple man unable to be reconciled with his demons. Dean Stockwell had given up movies and was selling real estate when he got the part of the brother, Walt, who works hard to rescue Travis, but ultimately can do no more. Young Hunter Carson was amazing as a seven-year-old boy who is often the leader in the Hunter-Travis relationship. Anne worries about her marriage with Walt if Hunter is no longer part of it. High quality all around.The title comes from the town where Travis had bought a vacant lot in happier times when he wanted to build a house for his family. The cinematography of rural Texas is excellent. The musical score undergirds the story.The sadness, which left me in tears, came in taking Hunter from Walt and Anne who had become his emotional parents, as well as the return at the end of the film of Travis to the desert from which he had briefly emerged at great cost. I loved the depth at which the characters were developed, though I was dissatisfied with the disappearance of Walt and Anne from the film in the second half. It felt like unfinished business."
163,"This film in a word is ""masterpiece"" i can't even define how i feel after watching this movie i just can't say i wasnt the same. This is a beautiful, emotional and rollercoaster experience to live, has very happy and funny moments and very sad moments- i just can say I cry like I never did before while watching this, it was so beautiful that i can't resist, I was no jokes like 40 minutes crying because i wouldn't stop. If you wanna appreciate a real film and what's cinema mean to be this movie is made for you, if you say you love cine this film is a need to you. Also has very beautiful shots and a excellet acting."
164,"What I love about Paris Texas is that it sits somewhere between a road movie and existentialist reflection.
You do see how Wenders uses this story to express a fascination with existentialism through the vehicle (sic) of road movie. The film for me has an obsession with the sadness of its own truth. With a screenplay by by the amazing Sam Shepard, (so much alienation and rage in his work), The film reflects themes that repeat all through Wenders' career. The American myth and the desert of contemporary life. 
Of course, as part of German New Wave, Wim Wenders' film does have a sense of European shifting narrative style and filmmaking techniques. But the collaboration of Wenders and Shepard's style imbue it with something truly original and essentially frightening -- a prediction of loss . Yes its about a man whose descent into madness and his return to the real world, he has to deal with loss. But its more than that. Is he mad or is the whole world mad as Antonin Artaud always implied?"
165,"If you enjoy watching paint dry or grass grow, then this is the movie for you. I kept waiting for something to happen, but it never did. I was hoping upon hope that there was an underlying story; such as the brother left him to die in the desert to be with his girlfriend. But no. That would be too easy. This one was way too artsy-fartsy.A friend of mine recommended this film to me. He's still my friend, but I will no longer trust him when it comes to movie suggestions."
166,"Wim Wenders' most recent film was Buena Vista Social Club, which was more a documentary than a film, was very good...even though this one is totally different, I thought this one was even better. Harry Dean Stanton delivered a very good performance as a man who doesn't even know who he is, Dean Stockwell and Aurore Clément as a couple who want to keep Travis' son...but the one who impressed me the most in this film was Nastassja Kinski, who played a prostitute that still loves the man she left. She was amazing and beautiful. The mystery is kept for a long time, and that's only one of the things that keeps your attention on the film. The weird thing is that you wait a long time before seeing any evolution, and suddenly POW! it starts and by the time you realize it, the evolution is done...the last thirty minutes are awesome...you see the whole thing you were waiting for. Overall, I must say that it's a very good film...I give it 91%."
167,"I am sure that I was never very keen of this film originally almost 40 years ago, but find it wonderful now. It is lightly long and rather slow although it didn't seen a problem today. I am that aware Wim Wenders never had children but this seems certain of his loss. Written by Sam Shepard and it is a very well done especially as the story turns around but only slowly and the time lets us gradually get the full story. The cinematography is Robby Muller who frequently worked with Wenders and his photography characteristic colour and buildings with the billboards and the desert. The love but lost seem to help to the strange and worrying and the reason that Harry Dean Stanton's character seems crazy at first and then maybe not so bad."
168,"Leave it to a European to best express the alienating attraction of the Great American West: the silence, the distance, the wanderlust of neon lights and lonely desert highways. Like most road films this one works best on the road, during Harry Dean Stanton's odyssey across the Southwest in search of estranged wife Nastassja Kinski (who affects a convincing southern twang). There's more than a few slow spots between his comatose emergence out of the sagebrush and the final, troubled reunion, anchored only by Stanton's weather-beaten face and the haunting strains of Ry Cooder's slide guitar. The film ends with one of director Wim Wenders' typically intense, extended dialogues, during which Stanton sacrifices his past to save his future. Kinski isn't offered the same luxury, but a bittersweet resonance still lingers long after the final credits."
169,"I've never been to Paris, Texas but after seeing this I don't think I ever want to. This film has such a quiet little flame about it. I think it is something that is hard to recapture ever again. I would love to see a future remake of this project"
170,"Everything about this movie is so good.To some, the slow pace will fill either empty, simple or boring. If you are the type of person that expects, assumes or wants the plot to hit you right away. This movie isnt for you.Highly recommended to people that enjoy the complexity of the simple, and the smooth build of the plot."
171,"Paris, Texas really managed to build so much purity and authenticity without falling into naivety. Starts with an expressive and peculiar first act, ends with an intense and powerful third act. Great cinematography, excellent score, first-class acting. This is the 1984 Palme d'Or winner."
172,"I was reading a book titled ""1001 movies you must see before you die,"" and Paris, Texas was in there, thus compelling me to rent this movie and check it out for myself. I thought ""Hey, I am from Texas, and this was in that book, so it must be good."" I can say one thing about that book, and that is that they must've gotten the title wrong. They should rename it ""1001 movies you should see if you want to die."" Why do I say this? Because this movie is unbearrrabllleeeee!!! I've been able to learn many things in my lifetime, but for the life of me I cannot figure out why people were captivated by 150 of the worst minutes in film history. People will get this movie based on it's rave reviews and just out of curiosity. I guarantee you that 80% of you will be writing a review like mine shortly after you view this film."
173,"I'd heard about this film for quite some time and I had put if off, but still looking forward to it. I don't know, it's a good film, very elegantly and meticulously directed, but it didn't really have any lasting profound impact. The performances are very good, especially Harry Dean Stanton, who does a remarkable job leading the film in his quiet, conflicted character and not always doing things that the audience may see as presentable or likable, and also we have Natassja Kinski, who does nothing less than almost steal the show in the last act. I'd heard some all-time worthy mentions regarding her, and although I don't know if I'd ever go that far, I still found her compelling and able to create such a real, complex persona in such short screen time. Overall, a disappointing film, but a good one nonetheless."
174,"Saw this film first on the big screen 40 yrs ago, several times on video and once again last night. Wender's & Shepard's note on a stark, hard & yet a beautiful America is even more affecting today.. one of the most essential films in my list!Kinski takes over completely when she lights up the screen, but those are small moments. The film remains bleak and the performances by the entire cast leaves little to want, with a riveting slide guitar by Ry Cooder flowing through the entire film's soundtrack, sending up goosebumps all the way.Probably my favourite wenders film.. and surely a masterpiece of cinema!"
175,"Deathly slow pacing dances hand in hand with poetic visual accompaniments. Next, a screenplay so learned it flows like a tapestry of knowledge every other line. Paris, Texas is not only successful in reworking overused Americana in a new way, but it's also a multi-faceted fable that transcends its era and geographical origins.This is one of those few cases where a film unfolds ""like a play"" and it suffers none. Sometimes extended amounts of time are spent in one room, but it never wears its welcome. There's lots to see and take in even with what some might call its overly thoughtful pacing.
I'm not really smart enough to do it justice in writing, but let just say this is one of the greatest films I've ever seen. Wim Wenders, Sam Shepard and co. have crafted a masterpiece."
176,"I'm not quite smart enough to peel back the layers of this movie, but what I do know is this is a very special film, the type that doesn't come around too often. The third act specifically left me visibly distraught, fully immersed, the whole world faded except that little coffee shop room. Every shot so perfectly composed, every line so carefully written. The character arc is delicate and natural, nothing feels forced. I'm embarrassed it took so long for me to finally watch.FYI I wrote this around 2:30AM on a sticky note beside my bed."
177,"A man emerges from the desert after an absence of four years. His brother finds him and together they return to Los Angeles, reuniting the man with his young son. Shortly thereafter, he and the boy set out to search for the child's mother, who had disappeared soon after the man's departure.
10/10"
178,"I for some reason thought that Movie would be about France and Usa, but it turned out to be completely different movie. I just loved everything about this movie, it was so chilling to watch, felt so real and emotional. I love the Lightings, I've felt the 80s atmosphere. Texas feels empty, big and somehow very relaxing."
179,"Desert scenes in beginning of film are interesting but there are so many outrageous and coincidental incidents throughout the story. For example, Travis and boy Hunter go on a trip to a Houston bank (from a Los Angeles ""suburb"") to find their once wife/mother who had left them years earlier. The details are just as ridiculous. The title ""Paris, Texas"" enters into the film but the reasoning is forced. Too many improbabilities and unexplained situations. Two stars for the camera work which is most impressive. The remaining minus eight because of the tedium and relentless boredom of the acting and story."
180,"""This society eliminates geographical distance only to produce a new internal separation."" - Guy DebordWim Wenders has long been an admirer of Michelangelo Antonioni. In 1994 he assisted the Italian director in the production of ""Beyond the Clouds"", and five years later would write ""My Time With Antonioni"", a diary of his extraordinary experiences working on the film.Wenders is also a huge Nicholas Ray fan. In 1980 he made ""Lighting Over Water"", a documentary about the last days of director Nicholas Ray.It should be no surprise, then, that Wenders' ""Paris, Texas"" is so strongly indebted to both directors. Part Antonioni's ""The Passenger"" and part Ray's ""In A Lonely Place"", the film is also another in a long line of Wim Wenders road movies.Harry Dean Stanton plays Travis, an elderly man who has spent the past 4 years wandering in the wilderness. Like Jack Nicholson in Antonioni's ""The Passenger"", Travis is trying to escape his past. He wishes to return to his place of conception, paradoxically a point of non-existence and a point of birth. Travis does not only want to eradicate himself, he wishes to restart. To be reborn.Most of ""Paris, Texas"" consists of Travis navigating vast empty spaces. Like Antonioni, Wenders favours vacant expanses, his characters sliding across their fabricated landscapes, dwarfed by concrete indifference. Wenders also makes gorgeous use of neon lights, and consults his many photo albums when choosing his shooting locations (Wenders is an exhibited photographer, and often travels the world photographing buildings, landscapes and people). This lends the film a unique look: a travelogue of alienation.With its designer existentialism, ""Paris, Texas"" covers the same thematic areas as Antonioni. But where the Italian director is cold and sterile, Wenders - a Christian - is filled with a fiery sort of humanity. Maybe he got this from Ray, who could be remarkably warm even at darkest moments. Wenders makes a mistake than Antonioni never made, however, and spends the entire final act of his film explaining what led to Travis disappearing for four years. It turns out that Travis married a young woman and had a son with her. Life was happy and carefree, until disillusionment, jealousy and a sort of existential nausea crept into their relationship. This led to the couple breaking apart. She, in typical Antonioni fashion, turned to empty sex with strangers in an attempt to distract her from her problems, placating her dissatisfactions with brief moments of biochemical pleasure. He simply disappeared into the wilderness.By focusing on domestic issues - the problems of raising a son, sex, youth, family, disillusionment, alienation, and shattered relationships – Wenders manages to lessen the film's overall effect. The film turns into a ""marital problem"", the result of a couple falling out, rather than the more elusive, unspeakably cosmic dilemmas that Antonioni manages to convey. Still, Wenders is great at demonstrating how difficult it is for 2 people to articulate their feelings directly. Toward the end of his film his couple have an extended conversation, Wenders separating them by screens and telephones, husband and wife unable to face one another directly. It's a great scene.8.5/10 – With ""The Wrong Move"", ""Paris, Texas"", ""Alice in the Cities"", ""The State of Things"", ""Until The End Of The World"", and ""King of the Roads"", Wenders has established himself as the master of road movies. ""Paris, Texas"" isn't as great as some of these films, but it's perhaps his most straight forward, his most accessible, hence its popularity.Note: This film is the reason David Lynch cast Harry Dean Stanton in his own road movie, ""The Straight Story"". Both revolving around two brothers, you might say these two films tell the same story from different points of view."
181,"Slowly, but steadily told story about a broken family and a tragic love. Great road movie with picturesque shots and intriguing music. Excellent acting, by both young and adult protagonists. Wonderful finale with touching dialogue spoken through a one-way mirror and a phone. Very artistic and impressive."
182,"The match of desert images in the first minutes and the Ry Cooder soundtrack make a lasting impression.  Indeed the cinematography is stunning throughout and makes this movie a must-see.  The eventual storyline as revealed is a little unconvincing, perhaps because of the casting, but it's moving nonetheless. Overall this is one of my top five all-time favourites."
183,"Paris, Texas, is one of Wim Wender's best films and was similar to Cormac's novel. It depicted America from the view of people who are not from America; I'm sure the Foreign story about America is the finest. I know this movie is the second Wim Wender film I have watched, and I say that Paris, Texas is one of his masterpieces. A Mixture between Family Dramas and Road Movies is the finest, and this movie made Wim Wender gain a Golden Plame from the Cannes film festival. I love these movies-one of the finest Non-American films set in the USA that I have ever watched and I love it of all, all times."
184,"2021 and only just watched this cinematic treasure for the first time!A wonderfully shot methodical slow paced dissection of lost love and lives going off at different tangents!You just can't fail to be moved by this movie, absolutely one not to be missed and so glad I caught up with it after all these years !Could be released now and would win Oscar's!"
185,"This movie is horrible! I watched and watched and nothing really happens. There were so many ""artistic"" scenes where nothing happened I almost fell asleep. If you do watch this, have your thumb ready to go on the fast forward button. There's plenty of fluff to skip over. Very poorly directed movie."
186,"It is interesting that none of this movie was filmed in Paris, Texas, that quaint little town about 100 miles NE of Dallas, with the replica of the Eiffel Tower in its town square. All we see is a photo of a vacant lot, which looks nothing like the area Paris actually is in.Harry Dean Stanton, already 50-ish, is remarkable as Travis, who is aimlessly marching through a desert as the movie opens. Ragged, dirty, and hungry, he makes it to a small store where he collapses after one bite of crushed ice. The local doctor revives him, and somehow finds a way to contact Travis' brother Walt (Dean Stockwell) who through some difficulty retrieves him and brings him to California.Travis is initially mute, unable to explain what had caused him to disappear for 4 years, or even to know that he had been gone for that long. ""Four years, is that a long time?"" In that time his young wife had disappeared, leaving their young son Hunter (Hunter Carson) to be raised by Walt and his wife.This movie is long, has very little to no action, and will be boring to many. I was not bored. I was absorbed in this character Travis, and where he was going to re-claim his life. A good chunk of the second half of the movie was filmed in Houston, where I live and worked, and many of the downtown buildings and highways felt as if I was right there, watching them through a window. The cinematography is superb.SPOILERS: As Travis regains his reasoning, and gets to know his son, he decides to find his wife Jane (Nastassja Kinski as a Texan) after he gets a clue that every month on the 5th she deposits money in an account for her son at a bank in Houston. Hunter insists on going with Travis, and together they find Jane, working in a sex business where she and other girls role-play in booths where patrons see them through windows, and they have no contact with the patrons, can't even see them through the mirrored glass. Travis leaves Hunter in the hotel room, visits Jane as a patron, tells her the whole story, and watches from the top of a parking garage as he sees, through the hotel window, the reunion of Hunter and Jane. His mission is accomplished, he knows he can't be with Jane, but he has made it possible for his son to have his mother."
187,"We all have events in our past that we wish we had never experienced. We avoid talking about them. It is difficult to admit mistakes. Sometimes we cannot look the other person in the eye when we make this confession. It is easier to turn away. But does that fix our mistakes? ""Paris, Texas"" will shake you to your core. As a director, I didn't see a great success. The script picks up towards the end of the movie. The acting is above standard. A more successful performance of the small actress could have made the movie more watchable. In this movie we watch the story of a man who misses his chance to have a ""family"". But we only ""watch"". I can't say that I could get into the movie."
188,"A man seemingly inexplicably has been wandering the desert in Texas for the past 4 years. He is finally found by his brother and takes him into his home. From that point, the man goes on a mission to confront his past and heal the wounds that lead him to become a wanderer.Paris, Texas is a slow moving character study about a psychologically wounded man. If you aren't already conditioned by Hollywood to crave non-stop action with sub-par scripts, and can enjoy a character study that takes its time to unfold the story, then this movie can be a real treat for you. Like most movies that I really enjoy, the cinematography and direction are great, and it really makes me care about the main character and hope for him to get everything worked out. The ending, which I won't spoil, is cinema at it's best, and leaves you both sad and happy at the same time. In my opinion, easily one of the best movies of the 80's."
189,"I can't really find the words to describe the feelings I got. It's just one of the best films I have ever watched. Story, aesthetics, soundtrack, acting, everything. Every color is a feeling, oh my God. I'm literally crying."
190,"I have seen this movie many times and its emotional impact never fades.In fact when I first saw it many years ago it completely blew me away. Wim Wenders is a master director.The central performances are first rate and the heart rending finale is handled with care and totally without any trace of slushy sentimentality. A story of a man who has lost everything including his wife and young son who makes the journey both physically and symbolically in his quest for redemption. There is one scene in the second meeting between Travis and Jane where the scene shifts from Travis to Jane that although subtle has huge dramatic impact.He can see her, she can only hear him through the telephone,something he says, she recognises.That flash of recognition with the change of perspective creates a sublime moment of drama. If you have no other reason for seeing this movie than watch it for Nastassja Kinski.The first time we really see her as she turns slowly from the bar is a moment of beauty.An iconic image of female perfection Go see you will be rewarded."
191,"I went to see this film when it came out. Even so many decades on it is still there at number 1 as the worst film I have ever seen. I has no redeeming features. It is too long It has no story - honestly. It is poorly shot. The music is annoying making it impossibly to even sleep through it. The acting is abysmal. There was, I seem to remember, some gratuitous nudity as well. A waste of film-stock. What makes it even worse is that it is not just crap, but pretentious crap. I am have been waiting for it to appear on television just to confirm my suspicions, but I guess the advertiser would not touch it with a 10 foot pole. Usually even bad films have some redeeming features, but this film does not."
192,"A beautiful, well-made movie.  Too bad it is only 20 minutes of storyline stretched out to movie length.Man helps brother end his mindless wandering.  Brother stays with man and slowly acts less weird.  Brother meets his son who is staying with man and wife and being brought up as their son.  Family refamiliarisation ensues and storyline progresses.  All with a backdrop of North American countryside, cities and towns - mostly dreary dusty looking places.I like movies in this style because they show what todays movies lack, this one however was missing something else that would have made it a joy to watch by keeping of your attention.  I would only recommend it to watch in the background while you do something to occupy the rest of your attention."
193,"I couldn't forget the scene that Travis and Jane r warching each other yet there's this mirror between them. They r so close to each other, yet they can never be together again. Love will tear us apart."
194,"Compelling story about the reunion of mother and little son. It tells about the emptiness of life. It tells about love, lonliness, compassion, missing, distance. I've seen it several times. Incredibly good actors, beautiful landscapes. Nastassja kinsky is extremly attractive. The boy acts great!"
195,"I find the scene where Travis talks with Jane through the one way mirror, very powerful and emotional. The dialogue is slow, tense, and the scene full of dramatic irony. The closest the two can get is hands separated by glass, as Travis negotiates his son back to his wife. Ry Cooder's stark spare music matches the whole beautiful painful film.One of my favourite films - and free too with the Sunday Times - a miracle! I saw this when it first came out, yet I could remember nearly every scene, and had a spooky experience on the 395 on the way to a skiing holiday sitting in the diner,which features early in the film! Slow, powerful film - stick with it - it will stick with you!"
196,"This was a magical experience. This movie warmed my heart with a following freezing side effect. The fact that it isn't trying to portray an aimless man who almost lost his everything makes it even more miserable. You can say this film is anti-romance but no one can say it isn't about love. Love and letting go of love because of love. I think everyone can find a piece for themselves in this one. This for everyone without doubt. That scene -you know which one- was like an openhearted excuse and really deep. They're faces blending each other, the emotinal impact is calculated very well. Also Travis and Hunter running across the road on opposite directions was really heart-warming. I ADORED them as a deficient father&son. Amazing work of Wenders is just speak for it self. A remarkable film that always gonna stay with me. Probably in top 10 in my favorite films for now."
197,"""Paris, Texas"" is a tender insight of what it means to be a father. And what it means to fall in love. The Mise-En-Scène is subtle but works very effectively. This film is very character and story based. The character development is great. The performances are magical and touching. Some scenes are very drawn out, but captivating. One very pivotal scene in particular which offers a slow burn and an extraordinary pay off demonstrates this tremendously.It is particularly emotional, with some marvellous, intimate, glistening moments which leaves a bitter sweet sensation. If the first 40 minutes doesn't grab you, I encourage you to persist. All in all, ""Paris Texas"" is a thought provoking, independent film, that's worth your while."
198,"This is a unique and ponderous tale of a wanderer (Harry Dean Stanton), who has lost his lover (Natassja Kinski), their child (Hunter Carson) and his reason and then is patiently returned to society by his loving brother (Dean Stockwell) and sister-in-law (Aurore Clement). It will alienate many viewers who expect the faster pace of nearly all movies and TV shows. Moreover, the main character is a very flawed person, not a hero in any conventional way, although he exhibits some growth. Sam Shepard was a writer/actor of immense talent and Wim Wenders gives the actors all the time and space they need. Ry Cooder's score is adept."
199,"This film starts off slow, with a rather ill-defined plot centred around a disheveled man stumbling around the desert who is picked up by his brother. Like the brother, we find ourselves quickly frustrated by the mystery surrounding the man's past, but it eventually gets revealed when he integrates into society again. The subtle friction he causes with his son and brother accentuates just how out of touch he is. The acting of this depiction is superb - there is little overt melodrama and it is all quite subtle, a sense of discomfort that yearns to be resolved. This resolution comes in the form of an almost therapeutic third act where the mother finally returns to the picture, asking just how much we deserve redemption. The ending is truly touching but does raise questions of just how far we can offer forgiveness and whether we are actually better off leaving the past in the past."
200,"The basic story of the film is nothing out of the ordinary, but it's what the filmmaker does with it that's pretty amazing. The cinematography is so simplistic yet so difficult to recreate. It's a slow burn movie, but the ending is so rewarding to watch. It's pretty difficult to explain what makes this film so good. I don't know how but at the end of the film you're just left sitting there just thinking. Trust me, it's great, I WOULD RECOMMEND this movie, just watch it, it's great."
201,"Texas is a desolate but beautiful and enchanted land and that certainly shows in this film. One is reminded to some extent of other films set in Texas, such as ""Blood Simple"" or ""The Last Picture Show."" Characters are silent and almost stoical, like the cowboys of the old days. It is almost as if the heat just cooks the words out of the mind as one squints in the hot sun.The film opens with the bluesy guitar work of Ry Cooder, which is just right for the desolate scene: the lead character of the movie (Harry Dean Stanton) wanders on foot in the noonday sun through a landscape that is a bit like the biblical wilderness of Jesus, the Big Bend region near the Rio Grande. The man seems to have lost his mind, or his way, or both. He collapses on the floor of a local bar and he is finally taken into protective custody. His brother, (Dean Stockwell) who works in outdoor advertising in Los Angeles, is summoned to fetch him. The brother talks, and Stanton only talks after a long while. It turns out he has a seven year old son, Hunter, who has been adopted by his Uncle and his aunt.The rest of the story recounts how he comes to terms with the traumatic breakup of his marriage and how he reconnects with his young son. This could easily have become a sticky sweet mess, but it is a tribute to the storytelling skill of director Wim Wenders and screenwriters L. M. Kit Carson and Sam Shepherd that this does not happen. Throughout the film, and in the performance of Nastassia Kinski as the estranged mother and wife, it has the ring of truth and a hopeful if not entirely happy ending."
202,"The opening desert sequence should strike a chord with anyone who's had a lost period or remains adrift. The soundtrack both reflects and generates the mood of the film. Ry Cooder created an acoustic guitar masterpiece that really speaks of the American desert and tragic lives.I enjoyed this movie the most before we really began to learn the story behind Travis' disappearance. The early road sequences were done with great atmosphere and poignancy. The ending seemed somewhat mundane compared to the mystery preceding it, though that's often the case. I just would have left more open to interpretation. Stanton and Kinski made an odd couple but these are minor points in a classic film."
203,"I mean, it was good, there are a lot of memorable sequences, a very good dialogues, but to me it seems kinda empty.The actors were there, of course they were talking but there wasn´t too much, it seems vere pretencious to be a film with more than 2 hours, there are a lot of scenes that could have been shorters, it was just too long, i never feel conected.And there a good things to say about the director, the use of the colors on the film were too good, i´m not saying is bad but i really feel it was too long and kinda boring.Duración: 2/5
Filmografía: 4/5
Edición: 2/5
Diálogos: 3/5
Originalidad: 3/5
Fotografía: 3/5
Soundtrack: 2/5
Profundidad: 4/5
Conección personal: 1/5."
204,"We first join Travis in the middle of the desert, not remembering who he is or why he's there. Some personal documents are found on him, his brother is called to pick him up, and we spend the next half hour watching him refuse to talk as they drive about the desert. The acting was bad, the dialogue bad, and the intrigue not enough to sustain the monotony, so that was enough for me. I fast forwarded to the end and their did appear to be some engaging scenes between Travis and his ex-wife, now a sex worker, but it was too little too late."
205,This film wanders around with little to say like the main character. I was never compelled to watch this movie for 37 years and I hate to admit watching this film felt like it lasted 37 years.
206,"Great. My first review. It's too bad I start with Paris, Texas because I have only one word for it: BORING. I watched a few hours earlier Coen's The Man Who Wasn't There. So, with a very good state of mind, I got to watch Paris, Texas, mostly because of the good reviews. The beginning was good: nice frames, clean and wide views in the country and a mysterious man with no past. I thought that should be watchable. I was mistaken. After an hour I had to go to sleep. I thought I was tired, but it was the movie. I didn't like Travis at all. No intellect. I see people like him everyday and they're no surprise. His kid is even smarter than him. If the intention was to see a simple man's life with his simple man's decisions then the film makers succeeded. But I think this recipe is for 5 year old's. Luckily there is a Forward button and I watched the predictable ending. 5 is merely for cinematography and a few good melodramatic scenes."
207,"I first decided not to watch this movie but a friend recommended me it so I gave it a try. And I have to say that it is not the worst movie I saw this week! The story is nice and kind, even a bit heartwarming at the end. Acting is solid, music is great. All in all it is a very solid movie you can watch if you like the setting US in the 1980s. However sometimes it is a bit long and you have to be patient but that is not a big problem. The movie is clearly overrated but as I already sad absolutely solid and watchable.Try it if you have the chance to watch it but do not expect a masterpiece of it."
